Lookup_7_digit_VIN,1,Production Year,Brand Name,Series ,Badge,Body Code,Body Style,Cylinders,Drive Line,AWD/RWD,Fuel,Product Name
B322579,77,2004,BMW,6 SERIES,645Ci,e64,Convertible,V8,Automatic,RWD,Gas,DISMANTLED - e64 B322579 Convertible B322579 CH BMW 645Ci Convertible N62 Auto 2004 Silber-grau metallic Dakota
B755787,78,1982,BMW,3 SERIES,320i,e21,Coupe,4 cyl,Manual,RWD,Gas,DISMANTLED - E21 Coupe C e21 320i 1982
B808805,79,2004,BMW,5 SERIES,530i,e60,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e60 B808805 BMW e60 530i Shadow-Line M54 AUTO Titan-silber Leather Dakota BLACK
BA928377,80,2010,BMW,3 SERIES,323i,e90,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - e90 BA928377 BA928377 CH BMW E90 323i  N52 MANUAL 6 SPD JUNE 2010 Black 2 Sensatec
BF11862,81,1990,BMW,5 SERIES,535i,e34,Sedan,6 cyl 3.5L,Manual,RWD,Gas,DISMANTLED - e34 BF11862 Sedan C BMW e34 535i  Built Dec 1990 M30 3.5L 5 Spd Manual BF11862
BF12004,82,1991,BMW,5 SERIES,535i,e34,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e34 BF12004 Sedan C BMW E34 535i  MARCH 1991 M30 5 SP MANUAL BF12004 part out
BF61069,83,1989,BMW,5 SERIES,535i,e34,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - V BMW E34 535I M30B35 6 CYL 3.5L AUTOMATIC BUILT FEB 1989 BLUE ON LUX BLUE BF61069 BF61069- B
BF61357,84,1989,BMW,5 SERIES,535i,e34,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - e34 BF61357 Sedan V BMW e34 535i  Feb 1989 M30 Auto BF61357
BF72548,85,1991,BMW,5 SERIES,535i,e34,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - e34 BF72548 Sedan C BMW e34 1987-1996 535I  AUTOMATIC APRIL 1991 M30 BF72548 BMW-Luvv
BF72840,86,1992,BMW,5 SERIES,535i,e34,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED -  BMW E34 535i 5 Series Sedan M30 Built July 1992 BF72840 Auto Euro All Parts BF72840- B
BK05308,87,1991,BMW,5 SERIES,M5,e34,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e34 BK05308 Sedan C BMW e34 M5 3.6L S38 MPower 5 Spd June 1991 Black on Black BK05308
BK05369,88,1990,BMW,5 SERIES,M5,e34,Sedan,6 cyl,Manual,RWD,Gas,1) Serious offers Requested: C COLLECTIBLE BK05369 JUNE 1991 E34 M5 SEDAN S38 3.6L 5 SPD MANUAL Euro All Parts
BK05428,89,1991,BMW,5 SERIES,M5,e34,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - E34 Sedan C BMW e34 M5 S38 5 Series
BK05428,90,1990,BMW,5 SERIES,M5,e34,Sedan,6 cyl,Manual,RWD,Gas,1) Serious offers Requested:C COLLECTIBLE JUNE 1990 BMW E34 M5 S38 3.6L 5SPD MANUAL Euro All Parts
BK06394,91,1991,BMW,5 SERIES,M5,e34,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - BMW E34 M5 5 Serie Nov 1991 MPower 3.6 S38 MANUAL BK06394 Euro All Parts BK06394- B
BO88567,92,2007,BMW,5 SERIES,545i,e60,Sedan,V8,Manual,RWD,Gas,DISMANTLED - e60 BO88567 C BMW E60 545i 5 Series VIN BO88567 july 2007 N62 V8 VIN BO88567
BV54125,93,1997,BMW,5 SERIES,528i,e39,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e39 BV54125 Sedan S BMW e39 528i Built Nov 1997 5 Series 6 Cyl M52 engine 5 speed BV54125
BV60288,94,1998,BMW,5 SERIES,528i,e39,Wagon ,6 cyl,Automatic,RWD,Gas,DISMANTLED - E39 BV60288 Wagon V BMW e39 528i  M52 6 Cyl Silver on Gray
BV93005,95,1997,BMW,5 SERIES,540i,e39,Sedan,V8,Manual,RWD,Gas,DISMANTLED - e39 BV93005 Sedan S BMW e39 540i 5 Series V8 M62 Manual Nov 1997 BV93005 Black on Black and tan
BV93005,95,1997,BMW,5 SERIES,540i,e39,Sedan,6 cyl,Manual,RWD,Gas,Part Out BMW E39 540i 4dr Sept 97 6 CYL M62 6 Spd manual BV93005 Euro All Parts BV93005- B
BV95243,97,1995,BMW,5 SERIES,540i,e39,Wagon,V8,Manual,RWD,Gas,DISMANTLED - e39 BV95243 Sedan C BMW E39 1995-2003 540i  M62 6 SPEED MANUAL 07 1998 BV95243
BW20869,98,1997,BMW,5 SERIES,528i,e39,Sedan ,V8,Automatic,RWD,Gas,DISMANTLED - e39 BW20869 Sedan CH BMW 528i  SILVER ON GRAY MARCH 1997 M52 AUTOMATIC BW20869 95-03
BW33062,99,1997,BMW,5 SERIES,528i,e39,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - e39 BW33062 Sedan C BMW E39 1995-2003 528i AUTOMATIC  NOV 1997 M52 6 CYL BW33062 BMW-Luvv
BW60030,100,1998,BMW,5 SERIES,540i,e39,Sedan,V8,Automatic,RWD,Gas,DISMANTLED - e39 BW60030 Sedan C BMW E39 540i  Jan 1998 BW60030 V8 M62 Auto
BW60385,101,1998,BMW,5 SERIES,540i,e39,Sedan,V8,Automatic,RWD,Gas,DISMANTLED - e39 BW60385 Sedan C BMW E39 540i 5 Series  BW60385 Jan 1998 M62 V8 AUTO
BY15305,102,1998,BMW,5 SERIES,528i,e39,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e39 BY15305 Sedan V BMW e39 528I BUILT OCT 1998 BMW 4dr Sdn 6 CYL M52 Manual 5 Spd BY15305
BZ96292,103,2000,BMW,5 SERIES,M5,e39,Sedan,6 cyl,Manual,RWD,Gas,1) Serious offers Requested: C COLLECTIBLE BZ96292 APRIL 2000 E39 M5 SEDAN S62 6SPD MANUAL Euro All Parts
BZ97736,104,2000,BMW,5 SERIES,M5,e39,Sedan,6 cyl,Manual,RWD,Gas,1) Serious offers Requested: C COLLECTIBLE BZ97736 BMW OCT 2000 E39 M5 S62 6 SPEED MANUAL Euro All Parts
C388902,105,2009,BMW,5 SERIES,528xi,e60,Sedan,6 cyl,Automatic,AWD,Gas,DISMANTLED - e60 C388902 Sedan C BMW E60  528xi NOV 2009 N52 AUTO Alpinweiss Leder dakota creambeige
C432602,106,2010,BMW,7 SERIES,750LiX,F02,Sedan,V8,Automatic,AWD,Gas,DISMANTLED - F02 C432602 Sedan C BMW C432602 F02  750LiX Built May 2010 N63 Automatic
C444548,107,2009,BMW,5 SERIES,528xi,e60,Sedan,6 cyl,Automatic,AWD,Gas,DISMANTLED - e60 C444548 Sedan C 2009-2010 BMW E60 528xi AWD  N52 3.0L 172kW AUTOMATIC Monacoblau ON CREAM LEATHER
C444548,107,2009,BMW,5 SERIES,528xi,e60,Sedan,6 cyl,Manual,AWD,Gas,DISMANTLED - E60 C444548 Sedan C C444548 BMW E60 528xi NOV 2009 n52 6 CYL AUTO Monaco-blau Metallic
C444795,109,2005,BMW,5 SERIES,528xi,e60,Sedan,6 cyl,Automatic,AWD,Gas,DISMANTLED - E60 C444795 Sedan C444795 CH E60 LCI 2005-2010 528xi  NOV 2009 N52 FIRE DAMAGE
C739404,110,2010,BMW,5 SERIES,528i,F10,Sedan,6 cyl,Automatic,RWD,Gas,CH PART OUT BMW C739404 5 SERIES F10 528i BUILT AUGUST 2010 N52 ENGINE 481 KALAHARIBEIGE SILVER ON TAN INTERIOR HIT FRONT-FIRE
CE92075,111,2001,BMW,5 SERIES,530i,e39,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - E39 CE92075 Sedan FR S BMW e39 530i manual Sept 2001
CF12432,112,2001,BMW,5 SERIES,530i,e39,Sedan,6 cyl,Automatic,RWD,Gas,C PART OUT CF12432 BMW E39 530i BUILT 2001 M54 6 CYL AUTOMATIC SEDAN titan-silber ON BLACK LEATHER LUXURY PACKAGE
CH98260,113,2002,BMW,5 SERIES,530i,e39,Sedan,6 cyl,Automatic,RWD,Gas,PART OUT - CH CH98260 BMW E39 530i SEDAN MAY 2002 AUTO M54 CH98260- B Euro All Parts
CK25110,114,2002,BMW,5 SERIES,530i,e39,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - E39 CK25110 Sedan C BMW e39 530i June 2002 M54 Auto 6 Cyl CK25110
CK31894,115,2002,BMW,5 SERIES,530i,e39,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - E39 CK31894 Sedan CH CK31894 BMW E39 530i NOV 2002 m54 auto Black-sapphire Metallic
CK87690,116,2005,BMW,5 SERIES,525i,e60,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - E60 CK87690 Sedan CK87690 CH BMW E60 2001-2009 525i  BUILT NOV 2005 N52 6 CYL
CL423885,117,2011,BMW,X SERIES,X5,e70,SUV,V8 5.0L,Automatic,AWD,Gas,DISMANTLED - e70 SOLD C 2011-2012 BMW E70 X5 xDrive50i SPORT SUV AWD N63 V8 alpinweiss 3 ON BLACK LEATHER
PV64788,118,2006,BMW,3 SERIES,325i,e90,Coupe,6 cyl,Automatic,RWD,Gas,DISMANTLED - E90 S BMW E90 325I 2006 FRONT CLIP
